ComentarioCrudo,ComentarioLimpio
"Dios mío la familia que triste noticia
porque tan jóvenes QEPDmis más sentido pésame a sus hermanos padres Esposa y amigos mis más sentido pésame es una tristeza inmensa para el deporte que brille para ellos la luz perpetua Amen","Dios mío la familia que triste noticia
porque tan jóvenes QEPDmis más sentido pésame a sus hermanos padres Esposa y amigos mis más sentido pésame es una tristeza inmensa para el deporte que brille para ellos la luz perpetua Amen"
Descansen en paz los hermanos,Descansen en paz los hermanos
Dios le de fortaleza a su esposa e hijos,Dios le de fortaleza a su esposa e hijos
Fuerza para su familia,Fuerza para su familia
Yo creo ke es una lección de vida para todos ke ay cosas ke es mejor ni comprarlas pero es gusto de cada kien por lo menos Ami si me sirve de lección en la vida el muchacho ya está descansando pobres los niños ke ban a crecer vivir y morir deseando combibir con su padre la señora viuda eya deside por su vida pero los más afectados son los padres ke extrañan un hijo ke Dios les de la fortaleza para superar tan grande pérdida,Yo creo ke es una lección de vida para todos ke ay cosas ke es mejor ni comprarlas pero es gusto de cada kien por lo menos Ami si me sirve de lección en la vida el muchacho ya está descansando pobres los niños ke ban a crecer vivir y morir deseando combibir con su padre la señora viuda eya deside por su vida pero los más afectados son los padres ke extrañan un hijo ke Dios les de la fortaleza para superar tan grande pérdida
"Requiem por el ser humano que nos deja y deja a su familia, compañeros y amigos del futbol, mi abrazo solidario","Requiem por el ser humano que nos deja y deja a su familia, compañeros y amigos del futbol, mi abrazo solidario"
Que triste,Que triste
"EPD, Brille para él y su hermano, la luz perpetua","EPD, Brille para él y su hermano, la luz perpetua"
you will never walk alone,you will never walk alone
"Nacimos y morimos, reflexión para todos esas personas que no alcanzamos en este mundo, nada te llevas, nada, descansa en paz joven estrella.","Nacimos y morimos, reflexión para todos esas personas que no alcanzamos en este mundo, nada te llevas, nada, descansa en paz joven estrella."
Y de repente se me llenaron los ojos de lágrimas,Y de repente se me llenaron los ojos de lágrimas
"Que dolor tan grande Dios mio
para sus seres queridos.","Que dolor tan grande Dios mio
para sus seres queridos."
Amen,Amen
DIOS LOS TENGA EN LA GLORIA Y FORTALEZA A SU FAMILIA,DIOS LOS TENGA EN LA GLORIA Y FORTALEZA A SU FAMILIA
QEPD,QEPD
Mire mari este futbolista se murió en un accidente,Mire mari este futbolista se murió en un accidente
"Que pena y horrible toda esa situación,PERO A LA VEZ ES UN MENSAJE,DE QUE NO HAY AUTO SEGURO MIENTRAS CURSAS UNA IMPRUDENCIA,muchas veces estos son los resultados,para lo que conducimos a diario no olvidemos nunca que en CASA SIEMPRE HAY ALGUIEN QUE NOS ESPERA.","Que pena y horrible toda esa situación,PERO A LA VEZ ES UN MENSAJE,DE QUE NO HAY AUTO SEGURO MIENTRAS CURSAS UNA IMPRUDENCIA,muchas veces estos son los resultados,para lo que conducimos a diario no olvidemos nunca que en CASA SIEMPRE HAY ALGUIEN QUE NOS ESPERA."
"Q,E,P,D. Jota y fuerza a su familia.","Q,E,P,D. Jota y fuerza a su familia."
Qepd. Fuerza flia,Qepd. Fuerza flia
"Que Dios todo poderoso dé mucha fortaleza a esa esposa y a esos angelitos que noticia tan trágica, de verdad que me consternó mucho","Que Dios todo poderoso dé mucha fortaleza a esa esposa y a esos angelitos que noticia tan trágica, de verdad que me consternó mucho"
Que triste noticia,Que triste noticia
No me lo creo vale estoy aquí apenas viendo la noticias no lo puedo creer jota un gran jugador vuela alto y descansa en paz Diogo jo,No me lo creo vale estoy aquí apenas viendo la noticias no lo puedo creer jota un gran jugador vuela alto y descansa en paz Diogo jo
La vida es corta acepta a cristo nadie save,La vida es corta acepta a cristo nadie save
Que pesar para la familia,Que pesar para la familia
Bendiciones,Bendiciones
Que pena más grande,Que pena más grande
Amen,Amen
Fuerza y Resignación para esta familia q sufre hoy la partida de su ser querido Sin palabras un fuerte abrazo,Fuerza y Resignación para esta familia q sufre hoy la partida de su ser querido Sin palabras un fuerte abrazo
D.E.P,D.E.P
Epd,Epd
Descansa en paz campeón,Descansa en paz campeón
3 niños se quedan si su papá,3 niños se quedan si su papá
Que triste noticia mucha fortaleza a su familia,Que triste noticia mucha fortaleza a su familia
Que dios los bendiga y cuide por siempre,Que dios los bendiga y cuide por siempre
Mis sentido pésame,Mis sentido pésame
Q Dios Fortaleza esta familia. No hay palabra.,Q Dios Fortaleza esta familia. No hay palabra.
Vida es frágil que triste hay vivir todos Días como si fuera último . Vivir feliz no importa lo pase. Dios te de fortaleza este momento tan difícil,Vida es frágil que triste hay vivir todos Días como si fuera último . Vivir feliz no importa lo pase. Dios te de fortaleza este momento tan difícil
Que putada ...,Que putada ...
Que triste noticia,Que triste noticia
Dios perdone sus pecados y DEP,Dios perdone sus pecados y DEP
Que tristesa de esta hermosa familia,Que tristesa de esta hermosa familia
Que Dios les ayude a sanar ese vacío,Que Dios les ayude a sanar ese vacío
El hijo mayor es el retrato de el,El hijo mayor es el retrato de el
No hay como describir esta tristeza los que amamos el futbol buen viaje diego buen viaje,No hay como describir esta tristeza los que amamos el futbol buen viaje diego buen viaje
"Que tragedia, Señor","Que tragedia, Señor"
Que tristeza tan grande,Que tristeza tan grande
"D.e.p a ti y a tu hermano ,un abrazo para todos","D.e.p a ti y a tu hermano ,un abrazo para todos"
Que Dios les de la paz y resignación a toda su familia en estos momentos tan difíciles por los que están atravesando,Que Dios les de la paz y resignación a toda su familia en estos momentos tan difíciles por los que están atravesando
La vida es un segundo no sabemos en que momento acabará valoremos con AMOR segundo a segundo,La vida es un segundo no sabemos en que momento acabará valoremos con AMOR segundo a segundo
"No se quien es pero que QEPD y un enorme abrazo de acompañamiento a la esposa, hijos y familia","No se quien es pero que QEPD y un enorme abrazo de acompañamiento a la esposa, hijos y familia"
Qué Dios lo tengan en la gloria,Qué Dios lo tengan en la gloria
Dios de muita fortaleza asu familia y paz a su alma que triste,Dios de muita fortaleza asu familia y paz a su alma que triste
Bendiciones para su familia y descansa en pas Jota y su hermano,Bendiciones para su familia y descansa en pas Jota y su hermano
que triste noticia el futbol de luto gracias por esos golasos por ser que ser umildad buen viaje crack Diego yota,que triste noticia el futbol de luto gracias por esos golasos por ser que ser umildad buen viaje crack Diego yota
"Liverpool Family is heartbroken
. Rest in Peace
Crack","Liverpool Family is heartbroken
. Rest in Peace
Crack"
"Disculpen mi ignorancia, de que falleció él?","Disculpen mi ignorancia, de que falleció él?"
Cuando se murió!! Que no me enteré!!,Cuando se murió!! Que no me enteré!!
"D.E.P
mis condolencias a la familia","D.E.P
mis condolencias a la familia"
Paz en su tumba,Paz en su tumba
En qué equipo jugaba,En qué equipo jugaba
Lo siento por su familia .,Lo siento por su familia .
"Q.E.P.D.,","Q.E.P.D.,"
"Típico de la gente hasta q se muere la persona, comienzan los alagos y en vida ni te conocen hablan mal de ti, todos los defectos te encuentren, en este mundo estamos llenas de gente hipócrita.","Típico de la gente hasta q se muere la persona, comienzan los alagos y en vida ni te conocen hablan mal de ti, todos los defectos te encuentren, en este mundo estamos llenas de gente hipócrita."
De no creeeer,De no creeeer
Pero porque correr en cualquier vehículo.... en menos de un minuto pierdes todo...ni pex,Pero porque correr en cualquier vehículo.... en menos de un minuto pierdes todo...ni pex
Que lástima por favor,Que lástima por favor
"Estamos de paso, hoy estamos aquí, mañana no sabemos, vivamos cada día bien, como si fuera el último día.","Estamos de paso, hoy estamos aquí, mañana no sabemos, vivamos cada día bien, como si fuera el último día."
Santo Dios que pesar,Santo Dios que pesar
Dios le de fuerza a su esposa hijos y sus padres demas familia,Dios le de fuerza a su esposa hijos y sus padres demas familia
Descansa en paz,Descansa en paz
.,.
Que tristeza,Que tristeza
No no fue la vida fue el que iba a exceso de velocidad ya vieron como quedó el carro?quedó quemado del fuerte impacto,No no fue la vida fue el que iba a exceso de velocidad ya vieron como quedó el carro?quedó quemado del fuerte impacto
Horrible lo que es la vida QEPD,Horrible lo que es la vida QEPD
Epd pobre,Epd pobre
"QEPD
mis más sinceras condolencias a sus familiares y amigos","QEPD
mis más sinceras condolencias a sus familiares y amigos"
Y de que murio,Y de que murio
Sin palabras.,Sin palabras.
Q pena !!! Qepd,Q pena !!! Qepd
Señor toma el control de su familia fortaleselos,Señor toma el control de su familia fortaleselos
Descansa en paz crack,Descansa en paz crack
Soy leeverpol.triste noticia.,Soy leeverpol.triste noticia.
QEPD,QEPD
"D.E.P, un abrazo","D.E.P, un abrazo"
"Dios, que dolor","Dios, que dolor"
"Que dolor de verdad. Es muy triste esto, Dios le de fortaleza a su esposa e hijos, y a sus padres también","Que dolor de verdad. Es muy triste esto, Dios le de fortaleza a su esposa e hijos, y a sus padres también"
Un día muy triste para el deporte y en especial para el fútbol .,Un día muy triste para el deporte y en especial para el fútbol .
Nos deja un grande del fútbol,Nos deja un grande del fútbol
D . E . P .,D . E . P .
Son seres mortales como todos los que ocupamos el planeta,Son seres mortales como todos los que ocupamos el planeta
Erda como así,Erda como así
Que le paso,Que le paso
Ese man se veia que era sano,Ese man se veia que era sano
Paz en su tumba,Paz en su tumba
Jota vuela alto,Jota vuela alto
Una pena...gran jugador...,Una pena...gran jugador...
Lamentable noticia,Lamentable noticia
EPD,EPD
Q tragedia D.E.P.,Q tragedia D.E.P.
"Dios santo, que tragedia,","Dios santo, que tragedia,"
Ya esta en un mejor lugar dios lo nesecita,Ya esta en un mejor lugar dios lo nesecita
Los accidentes de tránsito son la primer causa de muerte en jóvenes. CONCIENCIA,Los accidentes de tránsito son la primer causa de muerte en jóvenes. CONCIENCIA
Que tragedia!!,Que tragedia!!
"Bien dice el dicho,sabemos cuando salimos más no sabemos si vamos a regresar,Dios lo reciba en su gloria,descanse en paz y muchas fuerzas a su familia en este gran dolor","Bien dice el dicho,sabemos cuando salimos más no sabemos si vamos a regresar,Dios lo reciba en su gloria,descanse en paz y muchas fuerzas a su familia en este gran dolor"
"Que tristeza,","Que tristeza,"
"Bueno solo se habla de una persona y realmente eran dos personas jóvenes, con sus vidas cada cual la suya.","Bueno solo se habla de una persona y realmente eran dos personas jóvenes, con sus vidas cada cual la suya."
Pobriños ellos dos DEP.,Pobriños ellos dos DEP.
Un abrazo a esos padres.,Un abrazo a esos padres.
Descanse en paz un abrazo a la familia un beso al cielo,Descanse en paz un abrazo a la familia un beso al cielo
QUE TRISTE NOTICIA...,QUE TRISTE NOTICIA...
EPD,EPD
"Que dolor para esa madre
esposa y sus niños","Que dolor para esa madre
esposa y sus niños"
Dios los Bendiga siempre,Dios los Bendiga siempre
Ai Dios tan triste,Ai Dios tan triste
Paz en su tumba,Paz en su tumba
"Es la pura verdad,,,ay muchos aficionados que a veces ni van a los estadios,,y cuando van solo a gritar pestes a los jugadores,,,a ellos c les apoya en las buenas y malas,,apoyo incondicional, ahora todo el fútbol está d luto,que Dios lo aya recibido en sus brazos y fuerza y fortaleza para su familia","Es la pura verdad,,,ay muchos aficionados que a veces ni van a los estadios,,y cuando van solo a gritar pestes a los jugadores,,,a ellos c les apoya en las buenas y malas,,apoyo incondicional, ahora todo el fútbol está d luto,que Dios lo aya recibido en sus brazos y fuerza y fortaleza para su familia"
Que. Dolor. Por. Dios. D. En. P. Paz. Resignación. A. La. Familia,Que. Dolor. Por. Dios. D. En. P. Paz. Resignación. A. La. Familia
Lamentable pérdida,Lamentable pérdida
Que injusta es la vida!!,Que injusta es la vida!!
RIP,RIP
Mucha Fuerza pará la Familia en estos momentos difíciles,Mucha Fuerza pará la Familia en estos momentos difíciles
EPD,EPD
"Horrible
. Dep⚘️","Horrible
. Dep"
"Dios de la Misericordia concede a los padres de esos dos grandes deportistas del fútbol europeo, valor y fortaleza por tan trágico accidente en el que perdieron sus vidas. También para la familia de Diego, su señora y sus tres hijos.","Dios de la Misericordia concede a los padres de esos dos grandes deportistas del fútbol europeo, valor y fortaleza por tan trágico accidente en el que perdieron sus vidas. También para la familia de Diego, su señora y sus tres hijos."
Que dios le de resignación,Que dios le de resignación
Dios santo. Su familia.,Dios santo. Su familia.
Que cosa el destino 29.años lleno de vida y un futuro por delante brillante y tan gente mala haciendo mal humildad y se van los buenos,Que cosa el destino 29.años lleno de vida y un futuro por delante brillante y tan gente mala haciendo mal humildad y se van los buenos
Que triste noticia para esa familia tres niños que se quedan sin el amor de Papá EPD Campeón vuela alto al Olimpo de los Dioses,Que triste noticia para esa familia tres niños que se quedan sin el amor de Papá EPD Campeón vuela alto al Olimpo de los Dioses
Dios lo tenga en su santa gloria,Dios lo tenga en su santa gloria
"Cuando alguien se va de forma inesperada, el corazón se llena de preguntas, de dolor, de vacío. Es difícil entender por qué suceden estas cosas. Pero en medio de ese silencio que deja su ausencia, también habita su recuerdo","Cuando alguien se va de forma inesperada, el corazón se llena de preguntas, de dolor, de vacío. Es difícil entender por qué suceden estas cosas. Pero en medio de ese silencio que deja su ausencia, también habita su recuerdo"
